system:index,precipitation
19810101,0.0
19810102,0.0
19810103,0.0
19810104,0.0
19810105,0.0
19810106,0.0
19810107,0.0
19810108,0.0
19810109,0.0
19810110,0.0
19810111,0.0
19810112,4.326015125149487
19810113,0.0
19810114,0.0
19810115,0.0
19810116,0.0
19810117,0.825174357922856
19810118,0.0
19810119,0.0
19810120,0.0
19810121,0.0
19810122,0.0
19810123,0.0
19810124,0.0
19810125,0.0
19810126,0.0
19810127,0.0
19810128,0.0
19810129,14.472700956535007
19810130,0.5333671155933882
19810131,13.12832602833515
19810201,12.559593814397118
19810202,0.22513693768024326
19810203,0.0
19810204,7.629878293781506
19810205,17.608939851406443
19810206,14.83708930093498
19810207,8.031070318982204
19810208,0.0
19810209,0.0
19810210,27.889463336868804
19810211,14.57551910658413
19810212,15.973601840218015
19810213,0.04287595319663996
19810214,9.903491587107705
19810215,0.7115671571487455
19810216,0.0
19810217,0.0
19810218,0.0
19810219,29.516584628917848
19810220,9.323538046911912
19810221,21.97545408302137
19810222,4.840079865145091
19810223,0.46607334891365565
19810224,0.0
19810225,0.0
19810226,0.0
19810227,0.0
19810228,0.0
19810301,0.0
19810302,0.0
19810303,0.3189145631816539
19810304,0.0
19810305,2.06491177760089
19810306,2.300306285323886
19810307,0.0
19810308,0.0
19810309,0.0
19810310,0.0
19810311,0.0
19810312,0.5462339386137881
19810313,0.0
19810314,0.0
19810315,0.0
19810316,0.0
19810317,0.0
19810318,1.8633964489655548
19810319,0.0
19810320,0.0
19810321,1.7503119189924474
19810322,0.0
19810323,0.0
19810324,0.17837410246513585
19810325,2.607184765259166
19810326,0.13021235975572926
19810327,0.0
19810328,0.0
19810329,0.0
19810330,0.0018028251603826495
19810331,26.167354237448798
19810401,0.9589861709867139
19810402,58.5249271325679
19810403,28.183452167563733
19810404,8.204536043425616
19810405,0.0
19810406,0.0
19810407,0.0
19810408,0.0
19810409,0.0
19810410,0.0
19810411,0.0
19810412,0.0
19810413,0.0
19810414,0.0
19810415,0.0
19810416,0.0
19810417,0.0
19810418,0.0
19810419,0.0
19810420,0.0
19810421,0.0
19810422,0.0
19810423,0.0
19810424,0.0
19810425,0.0
19810426,0.0
19810427,0.0
19810428,0.46867868305002
19810429,0.0
19810430,0.0
19810501,0.0
19810502,0.0
19810503,0.0
19810504,0.0
19810505,0.0
19810506,0.5600248443501842
19810507,0.4340558645561589
19810508,0.0
19810509,0.0
19810510,0.0
19810511,0.0
19810512,0.0
19810513,0.0
19810514,0.0
19810515,0.0
19810516,3.1308429951580257
19810517,0.7927042210794497
19810518,0.0
19810519,0.08212432385330258
19810520,8.913954329736455
19810521,49.38753072303656
19810522,39.08839008507792
19810523,0.0
19810524,0.0
19810525,0.0
19810526,0.0
19810527,0.0
19810528,0.059864312810516546
19810529,7.259155584958322
19810530,0.5869969448373041
19810531,11.414132810280435
19810601,1.2811799883632646
19810602,0.24612531379026362
19810603,0.0
19810604,0.0
19810605,0.7995924878665961
19810606,1.9521655491317433
19810607,0.0
19810608,0.0
19810609,0.4735484038101899
19810610,3.2170182184205456
19810611,0.0
19810612,0.0
19810613,0.0
19810614,0.22409459589592984
19810615,0.11237543277294455
19810616,0.0
19810617,0.0
19810618,2.3417541082582196
19810619,5.308845465681439
19810620,14.68985836058069
19810621,9.96356486986413
19810622,0.16130145310096658
19810623,0.0
19810624,0.4508976987896776
19810625,2.6946552047365007
19810626,0.0
19810627,0.0
19810628,0.0
19810629,0.0
19810630,0.6975336095691478
19810701,0.0
19810702,0.0
19810703,0.0
19810704,0.0
19810705,0.0
19810706,0.0
19810707,0.0
19810708,0.0
19810709,0.0
19810710,0.0
19810711,0.0
19810712,0.0
19810713,0.0
19810714,0.0
19810715,0.0
19810716,0.0
19810717,0.0
19810718,0.0
19810719,0.0
19810720,0.0
19810721,26.901816579604354
19810722,0.0
19810723,0.0
19810724,4.054017627865699
19810725,0.0
19810726,0.0
19810727,0.714196553408935
19810728,11.72920056741862
19810729,0.0
19810730,0.0
19810731,0.0
19810801,0.0
19810802,0.0
19810803,0.0
19810804,2.575239840661698
19810805,0.0
19810806,0.0
19810807,0.058630148010215544
19810808,0.04570621767924125
19810809,0.5001595679856978
19810810,0.0
19810811,0.0
19810812,0.0
19810813,0.0
19810814,0.06605445985551872
19810815,0.0
19810816,0.0
19810817,0.0
19810818,0.0
19810819,0.0
19810820,3.135313438703764
19810821,0.3191265790223296
19810822,0.0
19810823,0.0
19810824,3.7455193088436545
19810825,0.14903811579947202
19810826,0.48584835562299544
19810827,6.9384083926992455
19810828,0.0
19810829,0.0
19810830,0.0
19810831,0.14850230887213753
19810901,0.0
19810902,0.0
19810903,0.0
19810904,0.027548880621449928
19810905,0.5301148231886187
19810906,0.0
19810907,0.0
19810908,0.0
19810909,0.0
19810910,0.0
19810911,0.0
19810912,0.07839540211675394
19810913,0.0
19810914,0.0
19810915,0.0
19810916,0.0
19810917,0.0
19810918,0.0
19810919,2.367690956949259
19810920,1.8183628359840907
19810921,0.0
19810922,0.0
19810923,2.333563158726135
19810924,0.0
19810925,0.0
19810926,12.922282906768007
19810927,0.0
19810928,0.0
19810929,0.0
19810930,3.434025063057896
19811001,3.547933451638379
19811002,0.0
19811003,0.7653856244613575
19811004,0.0
19811005,0.0
19811006,0.0
19811007,0.0
19811008,0.0
19811009,0.0
19811010,0.0
19811011,5.905826370674731
19811012,19.1613942653233
19811013,0.0
19811014,0.0
19811015,17.272651127099937
19811016,0.0
19811017,0.0
19811018,0.0
19811019,0.0
19811020,3.236957112466507
19811021,11.156247757894178
19811022,0.4759274378894771
19811023,0.0
19811024,0.0
19811025,0.0
19811026,0.0
19811027,0.0
19811028,0.0
19811029,0.0
19811030,0.0
19811031,11.69179486733212
19811101,41.320420631560246
19811102,8.15953118772941
19811103,0.22624538422590051
19811104,0.0
19811105,0.0
19811106,0.0
19811107,0.0
19811108,0.0
19811109,20.887670590034055
19811110,0.09600419523370067
19811111,0.0
19811112,0.0
19811113,5.611699686729042
19811114,0.0
19811115,0.0
19811116,0.21565412276649049
19811117,0.0
19811118,0.0
19811119,12.67522757195455
19811120,5.966034467849175
19811121,1.2760414021021769
19811122,11.519698191648278
19811123,0.0
19811124,0.0
19811125,1.2292962928198379
19811126,0.0
19811127,0.0
19811128,0.0
19811129,0.0
19811130,0.41186731754309697
19811201,0.0
19811202,0.47257271019214053
19811203,0.8010446144882867
19811204,0.0
19811205,0.0
19811206,0.0
19811207,0.0
19811208,0.019284979710184454
19811209,0.0
19811210,0.0
19811211,0.0
